Customer,Store,Profile,Profile Name,Name,Business Name,Address Line 1,Address Line 2,City,State,Zip,Zip4,Route,Walk Sequence,Endorse,Customer_16,,,,,,,,,,
33668,001,23,DatabaseTest,Ivan 10,Test Shop 7,Test Street 10,,Canton,GA,30114,,C002,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Ivan 11,Test Shop 7,Test Street 10,,Canton,GA,30114,,C003,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Ivan 12,Test Shop 8,Test Street 11,,Canton,GA,30114,,C004,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Ivan 13,Test Shop 9,Test Street 12,,Canton,GA,30114,,C005,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,John Doe,Test Shop,Test Street 1,,Canton,GA,30114,,C001,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Jane Doe,Test Shop,Test Street 1,,Canton,GA,30114,,C001,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,James Doe,Test Office,Test Street 2,,Canton,GA,30114,,C001,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Jesse Doe,Test Workshop,Test Street 3,,Canton,GA,30114,,C001,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Joe Doe,Test Workshop,Test Street 3,,Canton,GA,30114,,C001,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Jimmy Doe,Test Workshop,Test Street 3,,Canton,GA,30114,,C001,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Ivan 1,Test Shop 1,Test Street 4,,Canton,GA,30114,,C001,,,24373,,,,,,,,,,
33668,001,23,DatabaseTest,Ivan 9,Test Shop 6,Test Street 9,,Canton,GA,30114,,C001,,,24373,,,,,,,,,,
